CO,Gid,NUMID,Lat,Lon,City,ADMIN,Near,Distance,share,ag,nonag,VFI,KAC
ET,ET1,1,9.911,38.519,Ejere,964,ET1,0,0.0319,0.87,0.11,1,1
ET,ET11,11,7.07,37.697,Areka,965,ET11,0,0.0319,0.38,0.21,1,1
ET,ET12,12,6.967,37.867,Boditi,965,ET12,0,0.02094,    ,0.97,1,1
ET,ET13,13,7.242,37.902,Durame,965,ET13,0,0.0319,0.61,0.34,1,1
ET,ET14,14,6.867,37.033,Omo Sheleko,965,ET14,0,0.02094,0.6,0.35,1,1
ET,ET15,15,7.14,37.955,Shone,965,ET15,0,0.0319,    ,0.97,1,1
ET,ET16,16,8.182,38.063,Guragie,965,ET16,0,0.01097,    ,0.35,1,1
ET,ET17,17,9.9,37.93,Muhur,964,ET17,0,0.01097,0.7,0.12,1,1
ET,ET18,18,8.214,37.805,Wolkitie,965,ET18,0,0.02094,0.08,0.88,1,1
ET,ET2,2,9.8,38.733,Fichie,964,ET2,0,0.04287,0.48,0.51,1,1
ET,ET20,20,7.106,36.675,Ameya,965,ET20,0,0.02094,0.43,0.44,1,1
ET,ET21,21,8.971,37.761,Guder,964,ET21,0,0.0319,0.45,0.53,1,1
ET,ET22,22,8.729,37.476,Shenen,964,ET22,0,0.01097,0.79,0.15,1,1
ET,ET23,23,8.791,37.899,Wonchi,964,ET23,0,0.02094,0.81,0.13,1,1
ET,ET24,24,8.45,36.35,Bedele,964,ET24,0,0.01097,0.56,0.44,1,1
ET,ET25,25,9.533,39.456,Chacha,959,ET25,0,0.01097,0.7,0.27,1,1
ET,ET26,26,10.35,39.967,Effeson,959,ET26,0,0.01097,0.81,0.19,1,1
ET,ET27,27,10.314,39.664,Mehal Meda,959,ET27,0,0.05284,0.39,0.47,1,1
ET,ET28,28,10.717,39.867,Kemissie,959,ET28,0,0.01097,0.3,0.7,1,1
ET,ET29,29,10,39.9,Shewa Robit,959,ET29,0,0.0319,0.34,0.48,1,1
ET,ET3,3,9.359,38.499,Lemen,964,ET3,0,0.01097,0.66,0.32,1,1
ET,ET3976,3976,9.68,39.53,Debre Birhan,959,ET3976,0,0.0319,0.42,0.55,1,2
ET,ET3978,3978,14.28,39.47,Adigrat,967,ET5955,360,0.01097,    ,0.06,1,2
ET,ET3981,3981,7.55,37.85,Hosaina,965,ET3981,0,0.0319,0.13,0.43,1,2
ET,ET3982,3982,6.41,38.31,Dila,965,ET3982,0,0.01097,    ,0.97,1,2
ET,ET3983,3983,8.53,37.97,Giyon,964,ET3983,0,0.0319,0.34,0.48,1,2
ET,ET3984,3984,8.98,37.85,Hagere Hiywet,964,ET3984,0,0.0319,0.35,0.48,1,2
ET,ET3987,3987,7.2,38.59,Shashemene,964,ET3987,0,0.02094,    ,0.53,1,2
ET,ET4,4,9.341,39.263,Jeju,964,ET4,0,0.02094,0.63,0.11,1,1
ET,ET5,5,8.917,38.617,Sebeta,964,ET5,0,0.01097,    ,0.65,1,1
ET,ET554,554,7.06,38.477,Awasa,965,ET554,0,0.01097,    ,1,1,2
ET,ET5955,5955,11.13,39.63,Dese,959,ET5955,0,0.02094,0.02,0.9,1,2
ET,ET5956,5956,6.9,37.75,Sodo,965,ET5956,0,0.04287,0.38,0.55,1,2
ET,ET5957,5957,6.04,37.55,Arba Minch,965,ET5957,0,0.0319,    ,0.92,1,2
ET,ET5961,5961,8.55,39.27,Nazret,964,ET5961,0,0.01097,0.16,0.82,1,2
ET,ET6,6,9.16,38.22,Ada Berga,964,ET6,0,0.02094,0.7,0.14,1,1
ET,ET7,7,8.23,37.574,Gibe,965,ET7,0,0.02094,0.11,0.02,1,1
ET,ET7254,7254,9.033,38.7,Addis Ababa,957,ET5,.,0.10568,    ,1,1,2
ET,ET8,8,7.45,37.625,Gimbichu,965,ET8,0,0.0319,    ,0.61,1,1
ET,ET9,9,6.162,38.206,Yirga Chefe,965,ET9,0,0.02094,0.5,0.38,1,1
MW,MW10,10,-11.54,33.907,Mzuzu_3,1684,MW6561,15,0.03996,0.14,0.41,1,1
MW,MW11,11,-15.553,35.394,Zomba_2,1694,MW5898,21,0.00899,0.92,0.05,1,1
MW,MW12,12,-15.247,35.457,Zomba_3,1694,MW5898,23,0.00899,0.92,0.05,1,1
MW,MW2,2,-15.606,34.997,Blantyre_3,1669,MW6562,21,0.02498,0.18,0.73,1,1
MW,MW2805,2805,-11.6,34.3,Nkhata Bay,1684,MW6561,35,0.03996,0.14,0.41,1,2
MW,MW3,3,-14.252,34.19,Dedza_2,1673,MW307,21,0.004,0.36,0.64,1,1
MW,MW307,307,-14.367,34.333,Dedza,1673,MW307,0,0.01598,0.36,0.64,1,2
MW,MW310,310,-15.7,35.183,Chiradzulu,1669,MW6562,24,0.02697,0.18,0.73,1,2
MW,MW4,4,-13.033,33.483,Kasunga,1676,MW4,0,0.11588,0.73,0.27,1,1
MW,MW5,5,-12.85,33.484,Kasunga_2,1676,MW4,21,0.02498,0.73,0.27,1,1
MW,MW5898,5898,-15.39,35.31,Zomba,1694,MW5898,0,0.04396,0.92,0.05,1,2
MW,MW6,6,-13.212,33.504,Kasunga_3,1676,MW4,21,0.02697,0.73,0.27,1,1
MW,MW6561,6561,-11.46,34.02,Mzuzu,1684,MW6561,0,0.16983,0.14,0.41,1,2
MW,MW6562,6562,-15.79,34.99,Blantyre,1669,MW6562,0,0.12388,0.18,0.73,1,2
MW,MW6968,6968,-13.983,33.783,Lilongwe,1678,MW6968,0,0.1988,0.35,0.65,1,2
MW,MW7,7,-14.146,33.707,Lilongwe_2,1678,MW6968,21,0.04296,0.35,0.65,1,1
MW,MW8,8,-13.808,33.836,Lilongwe_3,1678,MW6968,21,0.04496,0.35,0.65,1,1
